[PASS] erase_and_blank_reads
[RUN ] page_program_and_readback
[PASS] page_program_and_readback
[RUN ] read_across_page_boundary
[PASS] read_across_page_boundary
[RUN ] nor_programming_behavior
[PASS] nor_programming_behavior
[RUN ] write_preserves_neighbors
[PASS] write_preserves_neighbors
[RUN ] write_across_sector_boundary
[PASS] write_across_sector_boundary
[RUN ] full_sector_sweep
[sector] 77/4095 erase_us=47193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 78/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 79/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 80/4095 erase_us=47193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96887
[sector] 81/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 82/4095 erase_us=49193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=98887
[sector] 83/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 84/4095 erase_us=45193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94889
[sector] 85/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 86/4095 erase_us=47193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96889
[sector] 87/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 88/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 89/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 90/4095 erase_us=47193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 91/4095 erase_us=49193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=98889
[sector] 92/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 93/4095 erase_us=49193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=98889
[sector] 94/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 95/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 96/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 97/4095 erase_us=43193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=92888
[sector] 98/4095 erase_us=47193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96889
[sector] 99/4095 erase_us=47193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96889
[sector] 100/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 101/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 102/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 103/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 104/4095 erase_us=47192 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 105/4095 erase_us=47192 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 106/4095 erase_us=47192 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 107/4095 erase_us=45192 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94887
[sector] 108/4095 erase_us=45193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94889
[sector] 109/4095 erase_us=47192 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 110/4095 erase_us=47192 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 111/4095 erase_us=45192 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94887
[sector] 112/4095 erase_us=47193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96887
[sector] 113/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 114/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 115/4095 erase_us=45192 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94887
[sector] 116/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 117/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 118/4095 erase_us=45192 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94887
[sector] 119/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 120/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 121/4095 erase_us=45192 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94887
[sector] 122/4095 erase_us=43193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=92889
[sector] 123/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 124/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 125/4095 erase_us=45192 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94887
[sector] 126/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
